#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -6.99699700        0.00453523        0.00272144        0.00166449        0.00014930
       -6.97697698        0.00449019        0.00273384        0.00160842        0.00014793
       -6.95695696        0.00445200        0.00273821        0.00156632        0.00014748
       -6.93693694        0.00441578        0.00273014        0.00153788        0.00014776
       -6.91691692        0.00437560        0.00270529        0.00152176        0.00014854
       -6.89689690        0.00432524        0.00266023        0.00151544        0.00014957
       -6.87687688        0.00425910        0.00259324        0.00151530        0.00015055
       -6.85685686        0.00417311        0.00250483        0.00151709        0.00015118
       -6.83683684        0.00406557        0.00239783        0.00151657        0.00015118
       -6.81681682        0.00393763        0.00227711        0.00151020        0.00015033
       -6.79679680        0.00379331        0.00214896        0.00149582        0.00014853
       -6.77677678        0.00363905        0.00202019        0.00147305        0.00014581
       -6.75675676        0.00348288        0.00189725        0.00144328        0.00014235
       -6.73673674        0.00333325        0.00178547        0.00140937        0.00013842
       -6.71671672        0.00319781        0.00168846        0.00137498        0.00013437
       -6.69669670        0.00308221        0.00160785        0.00134383        0.00013053
       -6.67667668        0.00298921        0.00154324        0.00131879        0.00012718
       -6.65665666        0.00291830        0.00149248        0.00130138        0.00012444
       -6.63663664        0.00286582        0.00145210        0.00129140        0.00012231
       -6.61661662        0.00282566        0.00141796        0.00128705        0.00012065
       -6.59659660        0.00279049        0.00138594        0.00128536        0.00011919
       -6.57657658        0.00275326        0.00135264        0.00128296        0.00011765
       -6.55655656        0.00270860        0.00131598        0.00127682        0.00011580
       -6.53653654        0.00265393        0.00127553        0.00126492        0.00011349
       -6.51651652        0.00258983        0.00123250        0.00124666        0.00011067
       -6.49649650        0.00251976        0.00118947        0.00122285        0.00010744
       -6.47647648        0.00244900        0.00114970        0.00119533        0.00010397
       -6.45645646        0.00238325        0.00111640        0.00116641        0.00010045
       -6.43643644        0.00232717        0.00109195        0.00113817        0.00009705
       -6.41641642        0.00228325        0.00107738        0.00111198        0.00009388
       -6.39639640        0.00225132        0.00107211        0.00108823        0.00009097
       -6.37637638        0.00222860        0.00107406        0.00106628        0.00008826
       -6.35635636        0.00221043        0.00108004        0.00104474        0.00008565
       -6.33633634        0.00219110        0.00108627        0.00102181        0.00008302
       -6.31631632        0.00216480        0.00108894        0.00099564        0.00008022
       -6.29629630        0.00212630        0.00108457        0.00096459        0.00007715
       -6.27627628        0.00207142        0.00107035        0.00092736        0.00007371
       -6.25625626        0.00199719        0.00104419        0.00088315        0.00006986
       -6.23623624        0.00190197        0.00100482        0.00083160        0.00006555
       -6.21621622        0.00178555        0.00095185        0.00077289        0.00006080
       -6.19619620        0.00164920        0.00088581        0.00070776        0.00005563
       -6.17617618        0.00149581        0.00080819        0.00063748        0.00005014
       -6.15615616        0.00132975        0.00072145        0.00056387        0.00004443
       -6.13613614        0.00115667        0.00062889        0.00048911        0.00003866
       -6.11611612        0.00098294        0.00053434        0.00041560        0.00003300
       -6.09609610        0.00081501        0.00044178        0.00034562        0.00002761
       -6.07607608        0.00065869        0.00035490        0.00028116        0.00002262
       -6.05605606        0.00051852        0.00027668        0.00022369        0.00001816
       -6.03603604        0.00039739        0.00020909        0.00017403        0.00001428
       -6.01601602        0.00029645        0.00015304        0.00013242        0.00001099
       -5.99599600        0.00021527        0.00010843        0.00009855        0.00000829
       -5.97597598        0.00015220        0.00007432        0.00007175        0.00000613
       -5.95595596        0.00010479        0.00004926        0.00005110        0.00000443
       -5.93593594        0.00007028        0.00003157        0.00003558        0.00000313
       -5.91591592        0.00004594        0.00001956        0.00002421        0.00000216
       -5.89589590        0.00002926        0.00001172        0.00001608        0.00000146
       -5.87587588        0.00001816        0.00000679        0.00001042        0.00000096
       -5.85585586        0.00001099        0.00000381        0.00000657        0.00000061
       -5.83583584        0.00000647        0.00000206        0.00000403        0.00000038
       -5.81581582        0.00000371        0.00000108        0.00000240        0.00000023
       -5.79579580        0.00000207        0.00000055        0.00000139        0.00000013
       -5.77577578        0.00000112        0.00000027        0.00000077        0.00000007
       -5.75575576        0.00000059        0.00000013        0.00000042        0.00000004
       -5.73573574        0.00000030        0.00000006        0.00000022        0.00000002
       -5.71571572        0.00000015        0.00000003        0.00000011        0.00000001
       -5.69569570        0.00000007        0.00000001        0.00000005        0.00000001
       -5.67567568        0.00000003        0.00000000        0.00000003        0.00000000
       -5.65565566        0.00000001        0.00000000        0.00000001        0.00000000
       -5.63563564        0.00000001        0.00000000        0.00000000        0.00000000
       -5.61561562        0.00000000        0.00000000        0.00000000        0.00000000
       -5.59559560        0.00000000        0.00000000        0.00000000        0.00000000
       -5.57557558        0.00000000        0.00000000        0.00000000        0.00000000
       -5.55555556        0.00000000        0.00000000        0.00000000        0.00000000
       -5.53553554        0.00000000        0.00000000        0.00000000        0.00000000
       -5.51551552        0.00000000        0.00000000        0.00000000        0.00000000
       -5.49549550        0.00000000        0.00000000        0.00000000        0.00000000
       -5.47547548        0.00000000        0.00000000        0.00000000        0.00000000
       -5.45545546        0.00000000        0.00000000        0.00000000        0.00000000
       -5.43543544        0.00000000        0.00000000        0.00000000        0.00000000
       -5.41541542        0.00000001        0.00000000        0.00000000        0.00000000
       -5.39539540        0.00000002        0.00000001        0.00000000        0.00000000
       -5.37537538        0.00000005        0.00000004        0.00000001        0.00000000
       -5.35535536        0.00000014        0.00000012        0.00000002        0.00000000
       -5.33533534        0.00000039        0.00000032        0.00000005        0.00000001
       -5.31531532        0.00000101        0.00000085        0.00000014        0.00000003
       -5.29529530        0.00000252        0.00000211        0.00000034        0.00000007
       -5.27527528        0.00000607        0.00000508        0.00000083        0.00000016
       -5.25525526        0.00001401        0.00001174        0.00000191        0.00000036
       -5.23523524        0.00003109        0.00002604        0.00000424        0.00000080
       -5.21521522        0.00006629        0.00005553        0.00000905        0.00000171
       -5.19519520        0.00013581        0.00011377        0.00001854        0.00000350
       -5.17517518        0.00026734        0.00022396        0.00003649        0.00000690
       -5.15515516        0.00050567        0.00042360        0.00006903        0.00001304
       -5.13513514        0.00091899        0.00076984        0.00012545        0.00002371
       -5.11511512        0.00160477        0.00134431        0.00021906        0.00004139
       -5.09509510        0.00269256        0.00225555        0.00036756        0.00006945
       -5.07507508        0.00434083        0.00363629        0.00059257        0.00011197
       -5.05505506        0.00672409        0.00563272        0.00091792        0.00017345
       -5.03503504        0.01000800        0.00838362        0.00136622        0.00025816
       -5.01501502        0.01431249        0.01198942        0.00195386        0.00036920
       -4.99499499        0.01966693        0.01647476        0.00268485        0.00050732
       -4.97497497        0.02596642        0.02175173        0.00354486        0.00066983
       -4.95495495        0.03294135        0.02759449        0.00449710        0.00084976
       -4.93493493        0.04015362        0.03363605        0.00548176        0.00103581
       -4.91491491        0.04702861        0.03939505        0.00642039        0.00121317
       -4.89489489        0.05292411        0.04433354        0.00722531        0.00136526
       -4.87487487        0.05722676        0.04793771        0.00781279        0.00147626
       -4.85485485        0.05945644        0.04980537        0.00811727        0.00153379
       -4.83483483        0.05935437        0.04971979        0.00810342        0.00153117
       -4.81481481        0.05693256        0.04769101        0.00777285        0.00146870
       -4.79479479        0.05247142        0.04395395        0.00716385        0.00135362
       -4.77477477        0.04646640        0.03892364        0.00634405        0.00119872
       -4.75475475        0.03953751        0.03311944        0.00539810        0.00101997
       -4.73473473        0.03232464        0.02707738        0.00441336        0.00083390
       -4.71471471        0.02539289        0.02127082        0.00346699        0.00065508
       -4.69469469        0.01916658        0.01605521        0.00261691        0.00049446
       -4.67467467        0.01390053        0.01164399        0.00189793        0.00035861
       -4.65465465        0.00968664        0.00811415        0.00132259        0.00024990
       -4.63463463        0.00648592        0.00543301        0.00088558        0.00016733
       -4.61461461        0.00417285        0.00349544        0.00056976        0.00010765
       -4.59459459        0.00257974        0.00216095        0.00035224        0.00006655
       -4.57457457        0.00153270        0.00128389        0.00020928        0.00003953
       -4.55455455        0.00087550        0.00073339        0.00011955        0.00002257
       -4.53453453        0.00048146        0.00040333        0.00006575        0.00001239
       -4.51451451        0.00025607        0.00021453        0.00003499        0.00000655
       -4.49449449        0.00013378        0.00011211        0.00001832        0.00000335
       -4.47447447        0.00007226        0.00006059        0.00000997        0.00000170
       -4.45445445        0.00004619        0.00003878        0.00000649        0.00000092
       -4.43443443        0.00004215        0.00003547        0.00000605        0.00000063
       -4.41441441        0.00005482        0.00004624        0.00000793        0.00000065
       -4.39439439        0.00008463        0.00007154        0.00001217        0.00000091
       -4.37437437        0.00013651        0.00011571        0.00001937        0.00000143
       -4.35435435        0.00021944        0.00018654        0.00003062        0.00000228
       -4.33433433        0.00034618        0.00029517        0.00004745        0.00000356
       -4.31431431        0.00053318        0.00045604        0.00007171        0.00000543
       -4.29429429        0.00080007        0.00068647        0.00010554        0.00000806
       -4.27427427        0.00116879        0.00100597        0.00015121        0.00001161
       -4.25425425        0.00166225        0.00143509        0.00021089        0.00001627
       -4.23423423        0.00230249        0.00199388        0.00028644        0.00002217
       -4.21421421        0.00310875        0.00270020        0.00037914        0.00002941
       -4.19419419        0.00409548        0.00356794        0.00048950        0.00003803
       -4.17417417        0.00527050        0.00460549        0.00061703        0.00004799
       -4.15415415        0.00663358        0.00581424        0.00076018        0.00005915
